150
608,133,1,6,168,127
78,55,1,81,17,41
685,10,1,145,158,125
118,576,1,150,102,97
709,561,1,62,87,217
642,6,1,206,76,35
755,569,1,218,115,228
12,448,1,34,158,247
473,480,1,95,140,93
97,360,1,147,161,72
635,335,1,156,3,175
144,168,1,137,32,17
106,328,1,17,251,204
790,307,1,37,138,31
743,351,1,54,200,168
368,495,1,190,45,140
716,43,1,1,165,194
727,325,1,209,192,98
733,36,1,96,252,64
247,369,1,234,178,55
699,31,1,166,31,144
733,283,1,168,180,155
228,357,1,225,49,97
716,528,1,71,110,115
648,413,1,77,150,240
721,135,1,240,23,222
37,68,1,22,202,106
441,580,1,180,242,69
791,116,1,139,204,99
777,374,1,70,100,18
75,135,1,251,160,154
715,458,1,46,56,7
642,459,1,235,79,176
97,209,1,199,253,26
38,92,1,225,86,139
782,408,1,90,9,209
94,558,1,240,128,14
602,535,1,184,29,92
712,219,1,21,254,37
429,527,1,120,129,235
771,531,1,43,186,94
752,507,1,185,156,60
342,455,1,173,200,161
603,507,1,126,128,71
710,353,1,34,224,172
708,561,1,210,48,137
48,493,1,202,252,114
524,563,1,12,180,170
686,239,1,175,109,193
416,479,1,55,152,244
569,191,1,6,152,7
253,578,1,118,58,112
728,112,1,236,147,94
373,506,1,55,6,118
418,497,1,142,18,6
414,465,1,25,91,111
161,16,1,110,160,158
169,539,1,88,88,27
329,495,1,107,121,17
663,367,1,113,13,165
719,227,1,242,109,52
252,238,1,175,15,61
501,431,1,8,201,89
86,414,1,212,128,33
610,148,1,33,4,247
654,47,1,229,133,171
244,20,1,103,10,176
493,441,1,183,33,99
684,476,1,152,158,115
602,177,1,68,57,140
241,580,1,201,194,61
229,323,1,193,196,16
637,4,1,172,150,96
643,356,1,51,128,117
61,527,1,226,231,165
627,506,1,183,184,173
694,549,1,177,33,168
48,570,1,227,59,72
615,400,1,41,225,212
222,577,1,32,208,181
711,7,1,107,204,179
347,493,1,171,61,203
236,363,1,175,234,140
195,434,1,85,141,10
10,328,1,218,167,61
195,461,1,185,204,175
710,293,1,169,31,254
25,472,1,161,250,194
70,584,1,22,220,56
603,18,1,98,254,216
703,8,1,214,131,85
762,333,1,232,1,12
146,521,1,34,159,209
213,96,1,90,120,94
99,276,1,237,114,104
313,539,1,236,111,223
613,338,1,212,197,251
704,62,1,248,179,251
63,501,1,36,217,80
613,304,1,105,92,96
65,54,1,74,140,68
496,545,1,94,220,129
605,162,1,50,115,15
563,153,1,96,8,250
712,414,1,239,70,250
791,179,1,44,151,245
448,503,1,22,184,148
725,411,1,106,211,43
702,525,1,245,177,3
260,4,1,86,60,222
646,353,1,51,144,209
517,538,1,92,104,250
42,211,1,65,233,136
600,407,1,26,213,7
730,138,1,219,124,89
358,593,1,110,171,154
5,474,1,59,230,79
95,512,1,231,6,239
566,34,1,103,28,14
104,340,1,50,250,234
647,499,1,248,241,99
628,516,1,10,174,142
454,482,1,76,14,115
122,284,1,129,139,147
554,583,1,153,15,127
736,545,1,196,158,125
700,369,1,27,73,218
609,448,1,35,56,82
742,108,1,38,205,74
693,22,1,145,140,195
652,56,1,51,135,181
570,480,1,45,183,33
193,158,1,121,62,160
430,542,1,252,236,106
534,449,1,242,57,204
642,80,1,186,181,183
672,73,1,25,39,84
103,116,1,87,160,129
724,249,1,233,103,235
590,589,1,71,5,221
592,395,1,110,7,149
745,551,1,104,58,46
92,42,1,85,218,190
522,9,1,137,162,174
133,584,1,3,51,204
296,532,1,106,73,27
627,171,1,60,181,127
515,567,1,155,45,91
129,114,1,223,59,12
626,397,1,231,59,36
